DiseaseName,DiseaseCode,Country,CountryCode,Registry,Gender,AgeGroup,Incidence,MortalityRate,Year
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,60-74,19.17,16.12,1958
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,75-85+,35.03,30.26,1958
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,0-14,0.0,0.0,1958
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,15-29,0.21,0.21,1958
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,30-44,7.2,7.95,1958
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,45-59,126.24,113.53,1958
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,60-74,375.34,352.12,1958
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,75-85+,315.05,252.04,1958
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,0-14,0.0,,1958
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,15-29,0.0,,1958
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,30-44,0.8,,1958
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,45-59,4.19,,1958
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,60-74,10.53,,1958
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,75-85+,10.25,,1958
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,0-14,0.0,,1958
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,15-29,0.0,,1958
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,30-44,2.36,,1958
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,45-59,30.46,,1958
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,60-74,50.28,,1958
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,75-85+,35.05,,1958
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,0-14,0.0,0.0,1959
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,15-29,0.0,0.0,1959
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,30-44,0.9,0.9,1959
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,45-59,6.07,6.8,1959
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,60-74,22.08,25.05,1959
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,75-85+,41.5,36.89,1959
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,0-14,0.0,0.0,1959
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,15-29,0.21,0.21,1959
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,30-44,7.13,6.89,1959
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,45-59,130.81,112.53,1959
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,60-74,406.28,368.04,1959
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,75-85+,314.15,283.65,1959
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,0-14,0.0,,1959
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,15-29,0.0,,1959
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,30-44,0.54,,1959
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,45-59,5.04,,1959
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,60-74,10.7,,1959
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,75-85+,6.26,,1959
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,0-14,0.0,,1959
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,15-29,0.0,,1959
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,30-44,2.39,,1959
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,45-59,32.79,,1959
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,60-74,69.22,,1959
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,75-85+,19.71,,1959
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,0-14,0.0,0.0,1960
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,15-29,0.0,0.21,1960
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,30-44,0.9,0.9,1960
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,45-59,5.55,5.06,1960
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,60-74,15.74,12.01,1960
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,75-85+,44.91,32.94,1960
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,0-14,0.0,0.0,1960
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,15-29,0.2,0.4,1960
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,30-44,8.97,5.57,1960
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,45-59,127.63,111.15,1960
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,60-74,391.15,379.57,1960
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,75-85+,362.74,306.25,1960
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,0-14,0.0,,1960
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,15-29,0.0,,1960
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,30-44,0.0,,1960
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,45-59,5.29,,1960
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,60-74,9.57,,1960
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,75-85+,12.23,,1960
