DiseaseCui,DiseaseName,GeneFusion
C0149782,Squamous cell carcinoma of lung,MSI2::SYNPO2
C0149782,Squamous cell carcinoma of lung,RAD51AP1::ATN1
C0149782,Squamous cell carcinoma of lung,MORC3::FAM3B
C0149782,Squamous cell carcinoma of lung,SPIN1::FUT9
C0149782,Squamous cell carcinoma of lung,MRPS17::PSPH
C0149782,Squamous cell carcinoma of lung,BMAL2::STK38L
C0149782,Squamous cell carcinoma of lung,ZNF595::ATP11B
C0149782,Squamous cell carcinoma of lung,CSTA::CASR
C0149782,Squamous cell carcinoma of lung,MSI2::AKAP1
C0149782,Squamous cell carcinoma of lung,PRPF39::TOGARAM1
C0149782,Squamous cell carcinoma of lung,UBA6::TMPRSS11D
C0149782,Squamous cell carcinoma of lung,SPINDOC::BUB1B
C0149782,Squamous cell carcinoma of lung,DIP2B::LARP4
C0149782,Squamous cell carcinoma of lung,TMCO3::SPACA7
C0149782,Squamous cell carcinoma of lung,LPP::ST6GAL1
C0149782,Squamous cell carcinoma of lung,NPEPL1::DSN1
C0149782,Squamous cell carcinoma of lung,SLC44A3::ABCD3
C0149782,Squamous cell carcinoma of lung,NF1::RNF135
C0149782,Squamous cell carcinoma of lung,EFL1::KHDRBS2
C0149782,Squamous cell carcinoma of lung,PLCB1::RBL1
C0149782,Squamous cell carcinoma of lung,NFX1::ACO1
C0149782,Squamous cell carcinoma of lung,XXYLT1::TPRG1
C0149782,Squamous cell carcinoma of lung,RNF19A::PRSS3
C0149782,Squamous cell carcinoma of lung,IL1RAP::TMEM207
C0149782,Squamous cell carcinoma of lung,PIP5K1A::SLC20A2
C0149782,Squamous cell carcinoma of lung,PDIA6::FBRSL1
C0149782,Squamous cell carcinoma of lung,HIPK3::LARGE2
C0149782,Squamous cell carcinoma of lung,CUL3::SPAG16
C0149782,Squamous cell carcinoma of lung,MARK3::ENTPD5
C0149782,Squamous cell carcinoma of lung,NECTIN4::NTRK1
C0149782,Squamous cell carcinoma of lung,ZNF189::BAAT
C0149782,Squamous cell carcinoma of lung,PPIG::FAM117B
C0149782,Squamous cell carcinoma of lung,NFKBIZ::ZBED2
C0149782,Squamous cell carcinoma of lung,CTCF::E2F4
C0149782,Squamous cell carcinoma of lung,KAT6A::FGFR1
C0149782,Squamous cell carcinoma of lung,RNF10::OASL
C0149782,Squamous cell carcinoma of lung,DYNC1I1::CXCL11
C0149782,Squamous cell carcinoma of lung,TAF12::TPRG1
C0149782,Squamous cell carcinoma of lung,ACTR2::TSGA10
C0149782,Squamous cell carcinoma of lung,MMP11::ZNF714
C0149782,Squamous cell carcinoma of lung,MLKL::TMEM231
C0149782,Squamous cell carcinoma of lung,SEC23B::CNGB3
C0149782,Squamous cell carcinoma of lung,MREG::ARL4D
C0149782,Squamous cell carcinoma of lung,TNPO2::DNASE2
C0149782,Squamous cell carcinoma of lung,TXNRD1::HCFC2
C0149782,Squamous cell carcinoma of lung,ZNRF3::EWSR1
C0149782,Squamous cell carcinoma of lung,TM9SF4::HM13
C0149782,Squamous cell carcinoma of lung,ZNF562::RFX2
C0149782,Squamous cell carcinoma of lung,TMEM259::SBNO2
C0149782,Squamous cell carcinoma of lung,SEC14L2::HORMAD2
C0149782,Squamous cell carcinoma of lung,SMYD2::PGBD2
C0149782,Squamous cell carcinoma of lung,GON4L::MEX3A
C0149782,Squamous cell carcinoma of lung,DNAJC16::FHAD1
C0149782,Squamous cell carcinoma of lung,ELL::LDLRAD1
C0149782,Squamous cell carcinoma of lung,RAB6B::VEPH1
C0149782,Squamous cell carcinoma of lung,ZSCAN25::SPATS1
C0149782,Squamous cell carcinoma of lung,JAZF1::SFRP4
C0149782,Squamous cell carcinoma of lung,F11R::NR1I3
C0149782,Squamous cell carcinoma of lung,SMC1A::UBQLN2
C0149782,Squamous cell carcinoma of lung,F11R::PFDN2
C0149782,Squamous cell carcinoma of lung,MYO5B::MBD1
C0149782,Squamous cell carcinoma of lung,TRIP12::KIF1A
C0149782,Squamous cell carcinoma of lung,CAMK2D::ANK2
C0149782,Squamous cell carcinoma of lung,ST6GAL1::TBCCD1
C0149782,Squamous cell carcinoma of lung,MED23::RNF217
C0149782,Squamous cell carcinoma of lung,CELSR1::SEZ6L
C0149782,Squamous cell carcinoma of lung,LYPD6B::MBD5
C0149782,Squamous cell carcinoma of lung,PPFIA1::SHANK2
C0149782,Squamous cell carcinoma of lung,FYTTD1::WRN
C0149782,Squamous cell carcinoma of lung,ROCK1::CDH2
C0149782,Squamous cell carcinoma of lung,PREP::SIM1
C0149782,Squamous cell carcinoma of lung,IKZF5::ADAM32
C0149782,Squamous cell carcinoma of lung,METTL24::BYSL
C0149782,Squamous cell carcinoma of lung,PURG::UBAP1
C0149782,Squamous cell carcinoma of lung,ST6GALNAC3::AK5
C0149782,Squamous cell carcinoma of lung,WNK1::DUSP16
C0149782,Squamous cell carcinoma of lung,TMEM87B::MERTK
C0149782,Squamous cell carcinoma of lung,ARHGEF10L::PADI4
C0149782,Squamous cell carcinoma of lung,ODF2::URM1
C0149782,Squamous cell carcinoma of lung,PARD3B::VWC2L
C0149782,Squamous cell carcinoma of lung,RBP1::NMNAT3
C0149782,Squamous cell carcinoma of lung,SHANK2::CSTPP1
C0149782,Squamous cell carcinoma of lung,TXN2::MYH9
C0149782,Squamous cell carcinoma of lung,PDE4D::RAB3C
C0149782,Squamous cell carcinoma of lung,ALDOC::MAN1A2
C0149782,Squamous cell carcinoma of lung,N4BP1::DDX19B
C0149782,Squamous cell carcinoma of lung,PQBP1::ERAS
C0149782,Squamous cell carcinoma of lung,TECR::PKN1
C0149782,Squamous cell carcinoma of lung,CELF1::MTCH2
C0149782,Squamous cell carcinoma of lung,PPP2R5D::BICRAL
C0149782,Squamous cell carcinoma of lung,SLC16A7::TTC28
C0149782,Squamous cell carcinoma of lung,G3BP1::SLC36A1
C0149782,Squamous cell carcinoma of lung,COL4A5::XRCC4
C0149782,Squamous cell carcinoma of lung,MANBA::LIMCH1
C0149782,Squamous cell carcinoma of lung,RPAP3::ADAM32
C0149782,Squamous cell carcinoma of lung,CTNNA1::HEYL
C0149782,Squamous cell carcinoma of lung,STIP1::MS4A18
C0149782,Squamous cell carcinoma of lung,NFIB::FREM1
C0149782,Squamous cell carcinoma of lung,CCT2::FRS2
C0149782,Squamous cell carcinoma of lung,ATRN::TNKS2
C0149782,Squamous cell carcinoma of lung,MARK3::TDRD9
C0149782,Squamous cell carcinoma of lung,CTTN::DSG1
C0149782,Squamous cell carcinoma of lung,KIF11::FFAR4
C0149782,Squamous cell carcinoma of lung,PPP1R3G::FAM50B
C0149782,Squamous cell carcinoma of lung,CTTN::ANO1
C0149782,Squamous cell carcinoma of lung,USP25::CAPN3
C0149782,Squamous cell carcinoma of lung,MACF1::INPP5B
C0149782,Squamous cell carcinoma of lung,ARAP2::PDS5A
C0149782,Squamous cell carcinoma of lung,ZNF653::CNN1
C0149782,Squamous cell carcinoma of lung,VIRMA::CYRIB
C0149782,Squamous cell carcinoma of lung,RIC1::EPYC
C0149782,Squamous cell carcinoma of lung,ITGA2::CEACAM21
C0149782,Squamous cell carcinoma of lung,SLC22A23::TRAF3
C0149782,Squamous cell carcinoma of lung,EIF3L::TRIOBP
C0149782,Squamous cell carcinoma of lung,CPQ::COL14A1
C0149782,Squamous cell carcinoma of lung,HNRNPR::E2F2
C0149782,Squamous cell carcinoma of lung,EFR3B::NCAN
C0149782,Squamous cell carcinoma of lung,AFDN::GMDS
C0149782,Squamous cell carcinoma of lung,CDC42BPB::ZFYVE1
C0149782,Squamous cell carcinoma of lung,TBCK::PAPSS1
C0149782,Squamous cell carcinoma of lung,GOLT1B::IAPP
C0149782,Squamous cell carcinoma of lung,ANO1::FGF3
C0149782,Squamous cell carcinoma of lung,GMDS::CAP2
C0149782,Squamous cell carcinoma of lung,MGA::SPTBN5
C0149782,Squamous cell carcinoma of lung,SLCO4A1::PFDN4
C0149782,Squamous cell carcinoma of lung,MACF1::RHBDL2
C0149782,Squamous cell carcinoma of lung,ZNF836::IGSF23
C0149782,Squamous cell carcinoma of lung,HHAT::DESI2
C0149782,Squamous cell carcinoma of lung,ATG13::AMBRA1
C0149782,Squamous cell carcinoma of lung,DGKD::ATG16L1
C0149782,Squamous cell carcinoma of lung,DENND1A::RRAGB
C0149782,Squamous cell carcinoma of lung,PAPSS2::BID
C0149782,Squamous cell carcinoma of lung,LPCAT4::MTMR10
C0149782,Squamous cell carcinoma of lung,RAB3GAP2::NEK7
C0149782,Squamous cell carcinoma of lung,ELMO1::SCIN
C0149782,Squamous cell carcinoma of lung,FGF12::ZNF595
C0149782,Squamous cell carcinoma of lung,CARM1::OLFM2
C0149782,Squamous cell carcinoma of lung,ITGAV::FARP2
C0149782,Squamous cell carcinoma of lung,THBS4::SCFD2
C0149782,Squamous cell carcinoma of lung,IFT74::WNK2
C0149782,Squamous cell carcinoma of lung,ATG5::EPHA7
C0149782,Squamous cell carcinoma of lung,OTUD7B::HORMAD1
C0149782,Squamous cell carcinoma of lung,DGCR8::CRKL
C0149782,Squamous cell carcinoma of lung,UBAP2::SLC26A7
C0149782,Squamous cell carcinoma of lung,CELSR2::FAR1
C0149782,Squamous cell carcinoma of lung,LANCL2::CHODL
C0149782,Squamous cell carcinoma of lung,PTPRG::MCM3AP
C0149782,Squamous cell carcinoma of lung,SDC4::NRG1
C0149782,Squamous cell carcinoma of lung,SEMA3F::RBM6
C0149782,Squamous cell carcinoma of lung,TBC1D1::RAB28
C0149782,Squamous cell carcinoma of lung,SPP1::THSD4
C0149782,Squamous cell carcinoma of lung,NFIX::DNM2
C0149782,Squamous cell carcinoma of lung,TBC1D12::EXOC6
C0149782,Squamous cell carcinoma of lung,LYZ::BIRC6
C0149782,Squamous cell carcinoma of lung,TULP3::GGNBP2
C0149782,Squamous cell carcinoma of lung,PITPNM2::KCTD3
C0149782,Squamous cell carcinoma of lung,LRP10::MSL1
C0149782,Squamous cell carcinoma of lung,GNB1L::CTSC
C0149782,Squamous cell carcinoma of lung,CREBBP::PRSS33
C0149782,Squamous cell carcinoma of lung,INCENP::CCS
C0149782,Squamous cell carcinoma of lung,ECT2::KALRN
C0149782,Squamous cell carcinoma of lung,WARS2::PHGDH
C0149782,Squamous cell carcinoma of lung,NEK7::RAB3GAP2
C0149782,Squamous cell carcinoma of lung,PKM::TNNT1
C0149782,Squamous cell carcinoma of lung,SLC20A2::FBXW7
C0149782,Squamous cell carcinoma of lung,ERC1::MRPL51
C0149782,Squamous cell carcinoma of lung,TJAP1::ABCC10
C0149782,Squamous cell carcinoma of lung,EXOSC7::ZDHHC3
C0149782,Squamous cell carcinoma of lung,NSMCE1::PEX11G
