DiseaseCui,DiseaseName,ChromosomalRearrengementName,ChromosomalRearrengementType
C0149782,Squamous cell carcinoma of lung,t(8;8)(q22;q24),Translocations
C0149782,Squamous cell carcinoma of lung,t(9;12)(p24;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;19)(q11;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;14)(p25;q32),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;4)(q24;q25),Translocations
C0149782,Squamous cell carcinoma of lung,t(12;12)(p12;p12),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;6)(p22;p25),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(q37;q37),Translocations
C0149782,Squamous cell carcinoma of lung,t(X;9)(p11;q33),Translocations
C0149782,Squamous cell carcinoma of lung,t(10;22)(q23;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(q31;q41),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;7)(p14;p21),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;5)(q12;q14),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;11)(p13;p15),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;21)(p11;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(8;20)(p12;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;4)(p14;p15),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;12)(p22;q15),Translocations
C0149782,Squamous cell carcinoma of lung,t(12;17)(p13;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;12)(q41;q24),Translocations
C0149782,Squamous cell carcinoma of lung,t(14;17)(q11;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;22)(q14;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q21;q26),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(p12;p12),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;8)(q31;p11),Translocations
C0149782,Squamous cell carcinoma of lung,t(16;19)(p12;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;6)(p24;p22),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;6)(p15;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;6)(q22;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(9;18)(p13;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;19)(q27;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(12;12)(q14;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;17)(q13;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;9)(q11;p22),Translocations
C0149782,Squamous cell carcinoma of lung,t(8;8)(p23;p23),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;10)(p13;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(p23;p23),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q26;q27),Translocations
C0149782,Squamous cell carcinoma of lung,t(8;8)(q21;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(20;20)(p12;p12),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;6)(q14;q14),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;8)(p21;p11),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;5)(p16;p15),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;4)(q35;q35),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q24;q29),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;16)(q21;p12),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;4)(q22;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(9;9)(q31;q33),Translocations
C0149782,Squamous cell carcinoma of lung,t(12;17)(q14;p11),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;8)(p36;p11),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(p32;p32),Translocations
C0149782,Squamous cell carcinoma of lung,t(16;16)(p13;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;20)(p13;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;7)(q22;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(18;18)(q21;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(17;17)(q22;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;6)(p21;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;11)(q13;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(p21;p21),Translocations
C0149782,Squamous cell carcinoma of lung,t(16;19)(p13;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;11)(q13;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;7)(q42;q36),Translocations
C0149782,Squamous cell carcinoma of lung,t(X;X)(p11;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;7)(q34;q35),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q22;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(X;X)(p22;p22),Translocations
C0149782,Squamous cell carcinoma of lung,t(12;12)(q22;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;13)(q14;q14),Translocations
