Country,Incidence,Mortality,age,gender,disease_id,disease_name,year,country_id,age_code,ethnicity,people_id,vs_id
Sweden,1.1,,30-44,Male,C0242379,Malignant neoplasm of lung,2022,SE,30-44 years,undefined,people_30-44_male_undefined,vstat_C0242379_SE_30-44_male_undefined
Austria,47.0,29.3,45-59,Female,C0242379,Malignant neoplasm of lung,2022,AT,45-59 years,undefined,people_45-59_female_undefined,vstat_C0242379_AT_45-59_female_undefined
Belgium,44.1,32.6,45-59,Female,C0242379,Malignant neoplasm of lung,2022,BE,45-59 years,undefined,people_45-59_female_undefined,vstat_C0242379_BE_45-59_female_undefined
Bulgaria,34.4,28.7,45-59,Female,C0242379,Malignant neoplasm of lung,2022,BG,45-59 years,undefined,people_45-59_female_undefined,vstat_C0242379_BG_45-59_female_undefined
Croatia,42.4,37.2,45-59,Female,C0242379,Malignant neoplasm of lung,2022,HR,45-59 years,undefined,people_45-59_female_undefined,vstat_C0242379_HR_45-59_female_undefined
Cyprus,30.3,21.0,45-59,Female,C0242379,Malignant neoplasm of lung,2022,CY,45-59 years,undefined,people_45-59_female_undefined,vstat_C0242379_CY_45-59_female_undefined
Czechia,28.3,25.2,45-59,Female,C0242379,Malignant neoplasm of lung,2022,CZ,45-59 years,undefined,people_45-59_female_undefined,vstat_C0242379_CZ_45-59_female_undefined
Denmark,49.1,36.8,45-59,Female,C0242379,Malignant neoplasm of lung,2022,DK,45-59 years,undefined,people_45-59_female_undefined,vstat_C0242379_DK_45-59_female_undefined
Estonia,19.4,8.9,45-59,Female,C0242379,Malignant neoplasm of lung,2022,EE,45-59 years,undefined,people_45-59_female_undefined,vstat_C0242379_EE_45-59_female_undefined
EU-27,43.7,29.1,45-59,Female,C0242379,Malignant neoplasm of lung,2022,EU-27,45-59 years,undefined,people_45-59_female_undefined,vstat_C0242379_EU-27_45-59_female_undefined
Finland,16.5,11.4,45-59,Female,C0242379,Malignant neoplasm of lung,2022,FI,45-59 years,undefined,people_45-59_female_undefined,vstat_C0242379_FI_45-59_female_undefined
France,65.3,34.3,45-59,Female,C0242379,Malignant neoplasm of lung,2022,FR,45-59 years,undefined,people_45-59_female_undefined,vstat_C0242379_FR_45-59_female_undefined
Germany,44.5,32.0,45-59,Female,C0242379,Malignant neoplasm of lung,2022,DE,45-59 years,undefined,people_45-59_female_undefined,vstat_C0242379_DE_45-59_female_undefined
Greece,31.4,20.7,45-59,Female,C0242379,Malignant neoplasm of lung,2022,GR,45-59 years,undefined,people_45-59_female_undefined,vstat_C0242379_GR_45-59_female_undefined
Hungary,80.8,62.8,45-59,Female,C0242379,Malignant neoplasm of lung,2022,HU,45-59 years,undefined,people_45-59_female_undefined,vstat_C0242379_HU_45-59_female_undefined
Ireland,41.1,18.3,45-59,Female,C0242379,Malignant neoplasm of lung,2022,IE,45-59 years,undefined,people_45-59_female_undefined,vstat_C0242379_IE_45-59_female_undefined
Italy,30.3,19.4,45-59,Female,C0242379,Malignant neoplasm of lung,2022,IT,45-59 years,undefined,people_45-59_female_undefined,vstat_C0242379_IT_45-59_female_undefined
Latvia,18.3,11.0,45-59,Female,C0242379,Malignant neoplasm of lung,2022,LV,45-59 years,undefined,people_45-59_female_undefined,vstat_C0242379_LV_45-59_female_undefined
Lithuania,17.1,12.6,45-59,Female,C0242379,Malignant neoplasm of lung,2022,LT,45-59 years,undefined,people_45-59_female_undefined,vstat_C0242379_LT_45-59_female_undefined
