DiseaseCui,DiseaseName,Incidence,MortalityRate,DemographicGroup
C0242379,Malignant neoplasm of lung,219.899993896484375,136.600006103515625,IE_60-74_male_undefined
C0242379,Malignant neoplasm of lung,318.29998779296875,253.8000030517578125,IE_75-85%2B_female_undefined
C0242379,Malignant neoplasm of lung,421.29998779296875,323.100006103515625,IE_75-85%2B_male_undefined
C0242379,Malignant neoplasm of lung,1.5,0.5,IT_30-44_female_undefined
C0242379,Malignant neoplasm of lung,2.2999999523162841797,0.60000002384185791016,IT_30-44_male_undefined
C0242379,Malignant neoplasm of lung,30.299999237060546875,19.399999618530273438,IT_45-59_female_undefined
C0242379,Malignant neoplasm of lung,42.09999847412109375,26.399999618530273438,IT_45-59_male_undefined
C0242379,Malignant neoplasm of lung,101.0,72.3000030517578125,IT_60-74_female_undefined
C0242379,Malignant neoplasm of lung,240.600006103515625,169.600006103515625,IT_60-74_male_undefined
C0242379,Malignant neoplasm of lung,167.0,146.5,IT_75-85%2B_female_undefined
C0242379,Malignant neoplasm of lung,440.100006103515625,442.100006103515625,IT_75-85%2B_male_undefined
C0242379,Malignant neoplasm of lung,4.0,1.1000000238418579102,LT_30-44_female_undefined
C0242379,Malignant neoplasm of lung,4.6999998092651367188,1.5,LT_30-44_male_undefined
C0242379,Malignant neoplasm of lung,17.100000381469726562,12.600000381469726562,LT_45-59_female_undefined
C0242379,Malignant neoplasm of lung,70.6999969482421875,69.3000030517578125,LT_45-59_male_undefined
C0242379,Malignant neoplasm of lung,61.200000762939453125,43.799999237060546875,LT_60-74_female_undefined
C0242379,Malignant neoplasm of lung,283.100006103515625,230.100006103515625,LT_60-74_male_undefined
C0242379,Malignant neoplasm of lung,75.0,70.5,LT_75-85%2B_female_undefined
C0242379,Malignant neoplasm of lung,382.20001220703125,314.600006103515625,LT_75-85%2B_male_undefined
C0242379,Malignant neoplasm of lung,1.3999999761581420898,1.3999999761581420898,LU_30-44_female_undefined
C0242379,Malignant neoplasm of lung,1.3999999761581420898,1.3999999761581420898,LU_30-44_male_undefined
C0242379,Malignant neoplasm of lung,37.299999237060546875,31.299999237060546875,LU_45-59_female_undefined
C0242379,Malignant neoplasm of lung,38.5,35.799999237060546875,LU_45-59_male_undefined
C0242379,Malignant neoplasm of lung,119.40000152587890625,99.40000152587890625,LU_60-74_female_undefined
C0242379,Malignant neoplasm of lung,175.100006103515625,161.100006103515625,LU_60-74_male_undefined
C0242379,Malignant neoplasm of lung,270.0,172.899993896484375,LU_75-85%2B_female_undefined
C0242379,Malignant neoplasm of lung,618.5999755859375,357.70001220703125,LU_75-85%2B_male_undefined
C0242379,Malignant neoplasm of lung,2.2000000476837158203,1.1000000238418579102,LV_30-44_female_undefined
C0242379,Malignant neoplasm of lung,4.5999999046325683594,1.1000000238418579102,LV_30-44_male_undefined
C0242379,Malignant neoplasm of lung,18.299999237060546875,11.0,LV_45-59_female_undefined
C0242379,Malignant neoplasm of lung,56.0,67.09999847412109375,LV_45-59_male_undefined
C0242379,Malignant neoplasm of lung,54.59999847412109375,41.90000152587890625,LV_60-74_female_undefined
C0242379,Malignant neoplasm of lung,335.0,250.8000030517578125,LV_60-74_male_undefined
C0242379,Malignant neoplasm of lung,67.0,78.6999969482421875,LV_75-85%2B_female_undefined
C0242379,Malignant neoplasm of lung,413.70001220703125,388.79998779296875,LV_75-85%2B_male_undefined
C0242379,Malignant neoplasm of lung,1.8999999761581420898,1.8999999761581420898,MT_30-44_female_undefined
C0242379,Malignant neoplasm of lung,25.5,20.700000762939453125,MT_45-59_female_undefined
C0242379,Malignant neoplasm of lung,29.600000381469726562,23.200000762939453125,MT_45-59_male_undefined
C0242379,Malignant neoplasm of lung,64.8000030517578125,42.5,MT_60-74_female_undefined
C0242379,Malignant neoplasm of lung,169.5,139.8000030517578125,MT_60-74_male_undefined
C0242379,Malignant neoplasm of lung,88.1999969482421875,56.09999847412109375,MT_75-85%2B_female_undefined
C0242379,Malignant neoplasm of lung,423.600006103515625,333.100006103515625,MT_75-85%2B_male_undefined
C0242379,Malignant neoplasm of lung,3.2999999523162841797,1.1000000238418579102,NL_30-44_male_undefined
C0242379,Malignant neoplasm of lung,55.799999237060546875,36.5,NL_45-59_female_undefined
C0242379,Malignant neoplasm of lung,46.700000762939453125,29.700000762939453125,NL_45-59_male_undefined
C0242379,Malignant neoplasm of lung,234.399993896484375,140.6999969482421875,NL_60-74_female_undefined
C0242379,Malignant neoplasm of lung,246.600006103515625,165.6999969482421875,NL_60-74_male_undefined
C0242379,Malignant neoplasm of lung,246.899993896484375,212.0,NL_75-85%2B_female_undefined
C0242379,Malignant neoplasm of lung,454.0,455.899993896484375,NL_75-85%2B_male_undefined
C0242379,Malignant neoplasm of lung,49.700000762939453125,36.59999847412109375,PL_45-59_female_undefined
C0242379,Malignant neoplasm of lung,90.90000152587890625,69.90000152587890625,PL_45-59_male_undefined
C0242379,Malignant neoplasm of lung,158.600006103515625,134.6999969482421875,PL_60-74_female_undefined
C0242379,Malignant neoplasm of lung,353.0,307.79998779296875,PL_60-74_male_undefined
C0242379,Malignant neoplasm of lung,181.0,161.600006103515625,PL_75-85%2B_female_undefined
C0242379,Malignant neoplasm of lung,546.5999755859375,498.20001220703125,PL_75-85%2B_male_undefined
C0242379,Malignant neoplasm of lung,4.6999998092651367188,2.0,PT_30-44_female_undefined
C0242379,Malignant neoplasm of lung,3.0999999046325683594,1.1000000238418579102,PT_30-44_male_undefined
C0242379,Malignant neoplasm of lung,29.100000381469726562,19.100000381469726562,PT_45-59_female_undefined
C0242379,Malignant neoplasm of lung,70.90000152587890625,54.799999237060546875,PT_45-59_male_undefined
C0242379,Malignant neoplasm of lung,66.40000152587890625,45.0,PT_60-74_female_undefined
C0242379,Malignant neoplasm of lung,219.8000030517578125,180.3000030517578125,PT_60-74_male_undefined
C0242379,Malignant neoplasm of lung,107.3000030517578125,88.90000152587890625,PT_75-85%2B_female_undefined
C0242379,Malignant neoplasm of lung,308.399993896484375,305.70001220703125,PT_75-85%2B_male_undefined
C0242379,Malignant neoplasm of lung,5.4000000953674316406,3.5999999046325683594,RO_30-44_female_undefined
C0242379,Malignant neoplasm of lung,6.8000001907348632812,2.7000000476837158203,RO_30-44_male_undefined
C0242379,Malignant neoplasm of lung,36.09999847412109375,28.799999237060546875,RO_45-59_female_undefined
C0242379,Malignant neoplasm of lung,118.5,99.90000152587890625,RO_45-59_male_undefined
C0242379,Malignant neoplasm of lung,75.40000152587890625,65.59999847412109375,RO_60-74_female_undefined
C0242379,Malignant neoplasm of lung,290.899993896484375,271.79998779296875,RO_60-74_male_undefined
C0242379,Malignant neoplasm of lung,98.3000030517578125,91.59999847412109375,RO_75-85%2B_female_undefined
C0242379,Malignant neoplasm of lung,317.70001220703125,313.899993896484375,RO_75-85%2B_male_undefined
C0242379,Malignant neoplasm of lung,24.5,12.600000381469726562,SE_45-59_female_undefined
C0242379,Malignant neoplasm of lung,16.799999237060546875,12.600000381469726562,SE_45-59_male_undefined
C0242379,Malignant neoplasm of lung,134.5,95.40000152587890625,SE_60-74_female_undefined
C0242379,Malignant neoplasm of lung,112.6999969482421875,86.8000030517578125,SE_60-74_male_undefined
C0242379,Malignant neoplasm of lung,182.0,199.100006103515625,SE_75-85%2B_female_undefined
C0242379,Malignant neoplasm of lung,184.5,194.399993896484375,SE_75-85%2B_male_undefined
C0242379,Malignant neoplasm of lung,4.0999999046325683594,0.80000001192092895508,SI_30-44_male_undefined
C0242379,Malignant neoplasm of lung,41.200000762939453125,37.799999237060546875,SI_45-59_female_undefined
C0242379,Malignant neoplasm of lung,58.700000762939453125,61.0,SI_45-59_male_undefined
C0242379,Malignant neoplasm of lung,184.8000030517578125,115.59999847412109375,SI_60-74_female_undefined
C0242379,Malignant neoplasm of lung,323.5,208.3000030517578125,SI_60-74_male_undefined
C0242379,Malignant neoplasm of lung,182.8000030517578125,158.1999969482421875,SI_75-85%2B_female_undefined
C0242379,Malignant neoplasm of lung,376.0,355.29998779296875,SI_75-85%2B_male_undefined
C0242379,Malignant neoplasm of lung,0.20000000298023223877,0.20000000298023223877,SK_30-44_female_undefined
C0242379,Malignant neoplasm of lung,25.200000762939453125,19.799999237060546875,SK_45-59_female_undefined
C0242379,Malignant neoplasm of lung,48.5,39.299999237060546875,SK_45-59_male_undefined
C0242379,Malignant neoplasm of lung,77.6999969482421875,64.90000152587890625,SK_60-74_female_undefined
C0242379,Malignant neoplasm of lung,257.5,220.100006103515625,SK_60-74_male_undefined
C0242379,Malignant neoplasm of lung,112.59999847412109375,104.8000030517578125,SK_75-85%2B_female_undefined
C0242379,Malignant neoplasm of lung,431.20001220703125,401.79998779296875,SK_75-85%2B_male_undefined
