ChemicalId,ChemicalName,CityId,CountryName,CityName,Value,Units,Population
C5890534,Particulate matter (PM2.5),IT_trent_efa4,Italy,Trento,14.9,Microgramos por metro cúbico (µg/m³),120641
C5890534,Particulate matter (PM2.5),RO_iasi_bc7d,Romania,Iasi,16,Microgramos por metro cúbico (µg/m³),378954
C5890534,Particulate matter (PM2.5),RO_timis_eadb,Romania,Timisoara,12.6,Microgramos por metro cúbico (µg/m³),328186
C5890534,Particulate matter (PM2.5),PL_chelm_a7f7,Poland,Chelm,15.2,Microgramos por metro cúbico (µg/m³),62670
C5890534,Particulate matter (PM2.5),CZ_plzen_6858,Czechia,Plzen,9.2,Microgramos por metro cúbico (µg/m³),174842
C5890534,Particulate matter (PM2.5),IT_lecco_4089,Italy,Lecco,15.2,Microgramos por metro cúbico (µg/m³),48058
C5890534,Particulate matter (PM2.5),CZ_brno_6a61,Czechia,Brno,12.3,Microgramos por metro cúbico (µg/m³),381346
C5890534,Particulate matter (PM2.5),HU_budap_865f,Hungary,Budapest,11.7,Microgramos por metro cúbico (µg/m³),1750216
C5890534,Particulate matter (PM2.5),PL_ldz_5824,Poland,Lódz,15.1,Microgramos por metro cúbico (µg/m³),685285
C5890534,Particulate matter (PM2.5),ES_elda_bc10,Spain,Elda,6.9,Microgramos por metro cúbico (µg/m³),87054
C5890534,Particulate matter (PM2.5),PL_czest_f31b,Poland,Czestochowa,21.9,Microgramos por metro cúbico (µg/m³),222292
C5890534,Particulate matter (PM2.5),FR_chart_a8f1,France,Chartres,8.5,Microgramos por metro cúbico (µg/m³),75990
C5890534,Particulate matter (PM2.5),PL_radom_1318,Poland,Radom,17.2,Microgramos por metro cúbico (µg/m³),213029
C5890534,Particulate matter (PM2.5),IT_arezz_0f68,Italy,Arezzo,13.2,Microgramos por metro cúbico (µg/m³),98259
C5890534,Particulate matter (PM2.5),SI_marib_c941,Slovenia,Maribor,12.1,Microgramos por metro cúbico (µg/m³),110871
C5890534,Particulate matter (PM2.5),PL_zamos_175e,Poland,Zamosc,15.3,Microgramos por metro cúbico (µg/m³),63813
C5890534,Particulate matter (PM2.5),DE_tbing_ae6e,Germany,Tübingen,8.1,Microgramos por metro cúbico (µg/m³),91506
C5890534,Particulate matter (PM2.5),BG_stara_3b5e,Bulgaria,Stara Zagora,20.1,Microgramos por metro cúbico (µg/m³),134726
C5890534,Particulate matter (PM2.5),FR_caen_80cf,France,Caen,8.2,Microgramos por metro cúbico (µg/m³),144972
C5890534,Particulate matter (PM2.5),IT_genov_e2be,Italy,Genova,10.1,Microgramos por metro cúbico (µg/m³),565752
C5890534,Particulate matter (PM2.5),IE_limer_09ef,Ireland,Limerick,9.3,Microgramos por metro cúbico (µg/m³),56980
C5890534,Particulate matter (PM2.5),IT_cremo_7d21,Italy,Cremona,23.3,Microgramos por metro cúbico (µg/m³),72399
C5890534,Particulate matter (PM2.5),NL_groni_c21f,Netherlands,Groningen,6.6,Microgramos por metro cúbico (µg/m³),231299
C5890534,Particulate matter (PM2.5),DE_stutt_700b,Germany,Stuttgart,8.7,Microgramos por metro cúbico (µg/m³),635911
C5890534,Particulate matter (PM2.5),FR_reims_8c34,France,Reims,9.1,Microgramos por metro cúbico (µg/m³),209507
C5890534,Particulate matter (PM2.5),CZ_stnad_5ab3,Czechia,Ústí nad Labem,9.8,Microgramos por metro cúbico (µg/m³),92716
C5890534,Particulate matter (PM2.5),DE_mnche_65b6,Germany,Mönchengladbach,7.8,Microgramos por metro cúbico (µg/m³),261034
C5890534,Particulate matter (PM2.5),DE_fried_f445,Germany,Friedrichshafen,8.6,Microgramos por metro cúbico (µg/m³),61283
C5890534,Particulate matter (PM2.5),ES_valde_327b,Spain,Valdemoro,11.8,Microgramos por metro cúbico (µg/m³),77270
C5890534,Particulate matter (PM2.5),IT_sassu_eacf,Italy,Sassuolo,17,Microgramos por metro cúbico (µg/m³),40278
C5890534,Particulate matter (PM2.5),RO_satum_d53a,Romania,Satu Mare,12.4,Microgramos por metro cúbico (µg/m³),119788
C5890534,Particulate matter (PM2.5),DE_dortm_6d27,Germany,Dortmund,10.5,Microgramos por metro cúbico (µg/m³),588250
C5890534,Particulate matter (PM2.5),CZ_most_f7c0,Czechia,Most,12.9,Microgramos por metro cúbico (µg/m³),66034
C5890534,Particulate matter (PM2.5),PL_jelen_0e31,Poland,Jelenia Góra,16.1,Microgramos por metro cúbico (µg/m³),79480
C5890534,Particulate matter (PM2.5),IT_rimin_80d1,Italy,Rimini,16.3,Microgramos por metro cúbico (µg/m³),149335
C5890534,Particulate matter (PM2.5),ES_tarra_92b4,Spain,Tarragona,9.8,Microgramos por metro cúbico (µg/m³),136496
C5890534,Particulate matter (PM2.5),SI_ljubl_7946,Slovenia,Ljubljana,15.4,Microgramos por metro cúbico (µg/m³),289518
C5890534,Particulate matter (PM2.5),HR_zagre_90f2,Croatia,Zagreb,14.4,Microgramos por metro cúbico (µg/m³),806772
C5890534,Particulate matter (PM2.5),BE_bruxe_e461,Belgium,Bruxelles / Brussel,9.8,Microgramos por metro cúbico (µg/m³),1223364
C5890534,Particulate matter (PM2.5),BE_lige_6128,Belgium,Liège,7.2,Microgramos por metro cúbico (µg/m³),383700
C5890534,Particulate matter (PM2.5),CZ_havro_0b96,Czechia,Havírov,17.2,Microgramos por metro cúbico (µg/m³),71200
C5890534,Particulate matter (PM2.5),IT_ferra_dee7,Italy,Ferrara,16.3,Microgramos por metro cúbico (µg/m³),132899
C5890534,Particulate matter (PM2.5),SE_ume_bd1e,Sweden,Umeå,3.6,Microgramos por metro cúbico (µg/m³),125080
C5890534,Particulate matter (PM2.5),DE_brand_d525,Germany,Brandenburg an der Havel,8.7,Microgramos por metro cúbico (µg/m³),72184
C5890534,Particulate matter (PM2.5),DE_kaise_df23,Germany,Kaiserslautern,8.1,Microgramos por metro cúbico (µg/m³),100030
C5890534,Particulate matter (PM2.5),DE_kempt_01a9,Germany,Kempten (Allgäu),8.8,Microgramos por metro cúbico (µg/m³),69151
C5890534,Particulate matter (PM2.5),FR_aixen_bceb,France,Aix-en-Provence,9.1,Microgramos por metro cúbico (µg/m³),142482
