DiseaseName,DiseaseCode,Country,CountryCode,Gender,AgeGroup,Incidence,MortalityRate,Year
Malignant neoplasm of lung,C0242379,Hungary,HU,Male,75-85+,436.5,423.5,2024
Malignant neoplasm of lung,C0242379,Ireland,IE,Female,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Ireland,IE,Female,15-29,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Ireland,IE,Female,30-44,1.0,0.0,2024
Malignant neoplasm of lung,C0242379,Ireland,IE,Female,45-59,39.1,15.4,2024
Malignant neoplasm of lung,C0242379,Ireland,IE,Female,60-74,172.5,100.1,2024
Malignant neoplasm of lung,C0242379,Ireland,IE,Female,75-85+,264.6,214.0,2024
Malignant neoplasm of lung,C0242379,Ireland,IE,Male,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Ireland,IE,Male,15-29,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Ireland,IE,Male,30-44,1.2,0.5,2024
Malignant neoplasm of lung,C0242379,Ireland,IE,Male,45-59,38.5,22.8,2024
Malignant neoplasm of lung,C0242379,Ireland,IE,Male,60-74,193.5,128.9,2024
Malignant neoplasm of lung,C0242379,Ireland,IE,Male,75-85+,363.1,305.9,2024
Malignant neoplasm of lung,C0242379,Italy,IT,Female,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Italy,IT,Female,15-29,0.5,0.1,2024
Malignant neoplasm of lung,C0242379,Italy,IT,Female,30-44,1.4,0.9,2024
Malignant neoplasm of lung,C0242379,Italy,IT,Female,45-59,22.3,13.8,2024
Malignant neoplasm of lung,C0242379,Italy,IT,Female,60-74,105.8,74.2,2024
Malignant neoplasm of lung,C0242379,Italy,IT,Female,75-85+,144.0,129.9,2024
Malignant neoplasm of lung,C0242379,Italy,IT,Male,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Italy,IT,Male,15-29,2.8,0.1,2024
Malignant neoplasm of lung,C0242379,Italy,IT,Male,30-44,0.3,1.4,2024
Malignant neoplasm of lung,C0242379,Italy,IT,Male,45-59,38.3,26.2,2024
Malignant neoplasm of lung,C0242379,Italy,IT,Male,60-74,227.5,173.8,2024
Malignant neoplasm of lung,C0242379,Italy,IT,Male,75-85+,433.6,407.1,2024
Malignant neoplasm of lung,C0242379,Latvia,LV,Female,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Latvia,LV,Female,15-29,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Latvia,LV,Female,30-44,2.2,0.6,2024
Malignant neoplasm of lung,C0242379,Latvia,LV,Female,45-59,21.2,10.5,2024
Malignant neoplasm of lung,C0242379,Latvia,LV,Female,60-74,60.5,49.8,2024
Malignant neoplasm of lung,C0242379,Latvia,LV,Female,75-85+,71.0,77.0,2024
Malignant neoplasm of lung,C0242379,Latvia,LV,Male,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Latvia,LV,Male,15-29,2.4,0.0,2024
Malignant neoplasm of lung,C0242379,Latvia,LV,Male,30-44,0.0,0.5,2024
Malignant neoplasm of lung,C0242379,Latvia,LV,Male,45-59,47.9,63.5,2024
Malignant neoplasm of lung,C0242379,Latvia,LV,Male,60-74,330.0,259.3,2024
Malignant neoplasm of lung,C0242379,Latvia,LV,Male,75-85+,398.6,389.3,2024
Malignant neoplasm of lung,C0242379,Lithuania,LT,Female,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Lithuania,LT,Female,15-29,0.5,0.0,2024
Malignant neoplasm of lung,C0242379,Lithuania,LT,Female,30-44,2.5,0.8,2024
Malignant neoplasm of lung,C0242379,Lithuania,LT,Female,45-59,18.4,10.1,2024
Malignant neoplasm of lung,C0242379,Lithuania,LT,Female,60-74,52.1,40.1,2024
Malignant neoplasm of lung,C0242379,Lithuania,LT,Female,75-85+,74.1,66.2,2024
Malignant neoplasm of lung,C0242379,Lithuania,LT,Male,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Lithuania,LT,Male,15-29,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Lithuania,LT,Male,30-44,2.7,1.4,2024
Malignant neoplasm of lung,C0242379,Lithuania,LT,Male,45-59,88.2,47.2,2024
Malignant neoplasm of lung,C0242379,Lithuania,LT,Male,60-74,267.4,249.0,2024
Malignant neoplasm of lung,C0242379,Lithuania,LT,Male,75-85+,333.2,344.8,2024
Malignant neoplasm of lung,C0242379,Luxembourg,LU,Female,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Luxembourg,LU,Female,15-29,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Luxembourg,LU,Female,30-44,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Luxembourg,LU,Female,45-59,29.2,17.5,2024
Malignant neoplasm of lung,C0242379,Luxembourg,LU,Female,60-74,126.8,88.5,2024
Malignant neoplasm of lung,C0242379,Luxembourg,LU,Female,75-85+,174.9,151.3,2024
Malignant neoplasm of lung,C0242379,Luxembourg,LU,Male,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Luxembourg,LU,Male,15-29,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Luxembourg,LU,Male,30-44,2.4,1.3,2024
Malignant neoplasm of lung,C0242379,Luxembourg,LU,Male,45-59,37.3,25.2,2024
Malignant neoplasm of lung,C0242379,Luxembourg,LU,Male,60-74,187.2,142.5,2024
Malignant neoplasm of lung,C0242379,Luxembourg,LU,Male,75-85+,376.4,325.7,2024
Malignant neoplasm of lung,C0242379,Malta,MT,Female,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Malta,MT,Female,15-29,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Malta,MT,Female,30-44,0.0,1.6,2024
Malignant neoplasm of lung,C0242379,Malta,MT,Female,45-59,24.2,13.2,2024
Malignant neoplasm of lung,C0242379,Malta,MT,Female,60-74,72.9,48.5,2024
Malignant neoplasm of lung,C0242379,Malta,MT,Female,75-85+,84.9,71.1,2024
Malignant neoplasm of lung,C0242379,Malta,MT,Male,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Malta,MT,Male,15-29,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Malta,MT,Male,30-44,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Malta,MT,Male,45-59,31.8,22.0,2024
Malignant neoplasm of lung,C0242379,Malta,MT,Male,60-74,168.5,126.4,2024
Malignant neoplasm of lung,C0242379,Malta,MT,Male,75-85+,375.7,321.3,2024
Malignant neoplasm of lung,C0242379,Netherlands,NL,Female,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Netherlands,NL,Female,15-29,1.5,0.1,2024
Malignant neoplasm of lung,C0242379,Netherlands,NL,Female,30-44,2.8,1.3,2024
Malignant neoplasm of lung,C0242379,Netherlands,NL,Female,45-59,52.7,29.9,2024
Malignant neoplasm of lung,C0242379,Netherlands,NL,Female,60-74,240.6,151.8,2024
Malignant neoplasm of lung,C0242379,Netherlands,NL,Female,75-85+,251.8,207.7,2024
Malignant neoplasm of lung,C0242379,Netherlands,NL,Male,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Netherlands,NL,Male,15-29,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Netherlands,NL,Male,30-44,1.9,1.2,2024
Malignant neoplasm of lung,C0242379,Netherlands,NL,Male,45-59,49.7,29.0,2024
Malignant neoplasm of lung,C0242379,Netherlands,NL,Male,60-74,225.9,158.1,2024
Malignant neoplasm of lung,C0242379,Netherlands,NL,Male,75-85+,409.3,377.3,2024
Malignant neoplasm of lung,C0242379,Poland,PL,Female,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Poland,PL,Female,15-29,1.7,0.0,2024
Malignant neoplasm of lung,C0242379,Poland,PL,Female,30-44,0.3,1.3,2024
Malignant neoplasm of lung,C0242379,Poland,PL,Female,45-59,35.4,25.3,2024
Malignant neoplasm of lung,C0242379,Poland,PL,Female,60-74,184.3,139.9,2024
Malignant neoplasm of lung,C0242379,Poland,PL,Female,75-85+,154.5,154.4,2024
Malignant neoplasm of lung,C0242379,Poland,PL,Male,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Poland,PL,Male,15-29,4.2,0.0,2024
Malignant neoplasm of lung,C0242379,Poland,PL,Male,30-44,2.6,3.0,2024
Malignant neoplasm of lung,C0242379,Poland,PL,Male,45-59,102.8,54.7,2024
Malignant neoplasm of lung,C0242379,Poland,PL,Male,60-74,342.1,307.5,2024
Malignant neoplasm of lung,C0242379,Poland,PL,Male,75-85+,373.4,442.7,2024
Malignant neoplasm of lung,C0242379,Portugal,PT,Female,0-14,0.1,0.0,2024
Malignant neoplasm of lung,C0242379,Portugal,PT,Female,15-29,1.1,0.1,2024
Malignant neoplasm of lung,C0242379,Portugal,PT,Female,30-44,7.0,2.1,2024
Malignant neoplasm of lung,C0242379,Portugal,PT,Female,45-59,31.2,18.6,2024
Malignant neoplasm of lung,C0242379,Portugal,PT,Female,60-74,66.9,45.3,2024
Malignant neoplasm of lung,C0242379,Portugal,PT,Female,75-85+,93.4,82.8,2024
Malignant neoplasm of lung,C0242379,Portugal,PT,Male,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Portugal,PT,Male,15-29,2.7,1.8,2024
Malignant neoplasm of lung,C0242379,Portugal,PT,Male,30-44,4.9,2.4,2024
Malignant neoplasm of lung,C0242379,Portugal,PT,Male,45-59,82.8,61.6,2024
Malignant neoplasm of lung,C0242379,Portugal,PT,Male,60-74,236.3,221.4,2024
Malignant neoplasm of lung,C0242379,Portugal,PT,Male,75-85+,271.7,347.9,2024
Malignant neoplasm of lung,C0242379,Romania,RO,Female,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Romania,RO,Female,15-29,0.3,0.1,2024
Malignant neoplasm of lung,C0242379,Romania,RO,Female,30-44,2.3,2.7,2024
Malignant neoplasm of lung,C0242379,Romania,RO,Female,45-59,39.2,26.7,2024
Malignant neoplasm of lung,C0242379,Romania,RO,Female,60-74,72.3,63.8,2024
Malignant neoplasm of lung,C0242379,Romania,RO,Female,75-85+,78.8,77.2,2024
Malignant neoplasm of lung,C0242379,Romania,RO,Male,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Romania,RO,Male,15-29,0.6,0.4,2024
Malignant neoplasm of lung,C0242379,Romania,RO,Male,30-44,2.5,3.6,2024
Malignant neoplasm of lung,C0242379,Romania,RO,Male,45-59,159.8,96.7,2024
Malignant neoplasm of lung,C0242379,Romania,RO,Male,60-74,297.9,284.0,2024
Malignant neoplasm of lung,C0242379,Romania,RO,Male,75-85+,262.6,265.0,2024
Malignant neoplasm of lung,C0242379,Slovakia,SK,Female,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Slovakia,SK,Female,15-29,0.7,0.0,2024
Malignant neoplasm of lung,C0242379,Slovakia,SK,Female,30-44,0.6,0.8,2024
Malignant neoplasm of lung,C0242379,Slovakia,SK,Female,45-59,24.2,17.1,2024
Malignant neoplasm of lung,C0242379,Slovakia,SK,Female,60-74,79.8,68.0,2024
Malignant neoplasm of lung,C0242379,Slovakia,SK,Female,75-85+,108.4,100.4,2024
Malignant neoplasm of lung,C0242379,Slovakia,SK,Male,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Slovakia,SK,Male,15-29,2.0,0.0,2024
Malignant neoplasm of lung,C0242379,Slovakia,SK,Male,30-44,1.7,1.6,2024
Malignant neoplasm of lung,C0242379,Slovakia,SK,Male,45-59,55.8,36.1,2024
Malignant neoplasm of lung,C0242379,Slovakia,SK,Male,60-74,236.5,207.9,2024
Malignant neoplasm of lung,C0242379,Slovakia,SK,Male,75-85+,349.9,323.4,2024
Malignant neoplasm of lung,C0242379,Slovenia,SI,Female,0-14,0.0,0.0,2024
