pollutant,country,sampling_point,station_name,municipality,latitude,longitude,station_area,annual_mean,n_observations,unit,agg_type,year
PM2.5,AT,SPO.04.S217.68689.6001.1,Enns Kristein - A1 Westautobahn,4470 Enns,48.20944,14.43694,rural-nearcity,11.0421,356,ug.m-3,day,2024
PM2.5,AT,SPO.04.S108.64343.6001.1,Grünbach bei Freistadt,4264 Grünbach,48.53111,14.57472,rural,9.2295,8452,ug.m-3,hour,2013
PM2.5,AT,SPO.04.S108.64343.6001.1,Grünbach bei Freistadt,4264 Grünbach,48.53111,14.57472,rural,7.5861,8672,ug.m-3,hour,2014
PM2.5,AT,SPO.04.S108.64343.6001.1,Grünbach bei Freistadt,4264 Grünbach,48.53111,14.57472,rural,9.0994,8338,ug.m-3,hour,2015
PM2.5,AT,SPO.04.S108.64343.6001.1,Grünbach bei Freistadt,4264 Grünbach,48.53111,14.57472,rural,8.8505,8408,ug.m-3,hour,2016
PM2.5,AT,SPO.04.S108.64343.6001.1,Grünbach bei Freistadt,4264 Grünbach,48.53111,14.57472,rural,8.7541,8062,ug.m-3,hour,2017
PM2.5,AT,SPO.04.S108.64343.6001.1,Grünbach bei Freistadt,4264 Grünbach,48.53111,14.57472,rural,10.2309,7934,ug.m-3,hour,2018
PM2.5,AT,SPO.04.S108.64343.6001.1,Grünbach bei Freistadt,4264 Grünbach,48.53111,14.57472,rural,7.2486,7129,ug.m-3,hour,2019
PM2.5,AT,SPO.04.S108.64343.6001.1,Grünbach bei Freistadt,4264 Grünbach,48.53111,14.57472,rural,6.6668,8217,ug.m-3,hour,2020
PM2.5,AT,SPO.04.S108.64343.6001.1,Grünbach bei Freistadt,4264 Grünbach,48.53111,14.57472,rural,7.0491,8378,ug.m-3,hour,2021
PM2.5,AT,SPO.04.S108.64343.6001.1,Grünbach bei Freistadt,4264 Grünbach,48.53111,14.57472,rural,6.9798,8399,ug.m-3,hour,2022
PM2.5,AT,SPO.04.S108.64343.6001.1,Grünbach bei Freistadt,4264 Grünbach,48.53111,14.57472,rural,6.0662,7702,ug.m-3,hour,2023
PM2.5,AT,SPO.04.S108.64343.6001.1,Grünbach bei Freistadt,4264 Grünbach,48.53111,14.57472,rural,6.1645,8126,ug.m-3,hour,2024
PM2.5,AT,SPO.09.GAUD.67352.6001.1,Gaudenzdorf,1120 Wien,48.18715,16.33933,urban,12.1630,8754,ug.m-3,hour,2019
PM2.5,AT,SPO.09.GAUD.67352.6001.1,Gaudenzdorf,1120 Wien,48.18715,16.33933,urban,9.8911,8770,ug.m-3,hour,2020
