rank,GeographicRegion_label,GeographicRegion_uri,CalendarYear_label,CalendarYear_uri,confidence,context
27,Gyeongbuk Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_gyeongbuk_region,2015,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2015,5.9422,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
28,Jeolla Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_jeolla_region,2013,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2013,5.9403,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
29,Gyeongnam Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_gyeongnam_region,2018,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2018,5.9288,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
30,Gyeongbuk Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_gyeongbuk_region,2013,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2013,5.9285,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
31,Jeolla Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_jeolla_region,2009,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2009,5.9238,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
32,Jeolla Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_jeolla_region,2010,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2010,5.9199,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
33,Gyeongbuk Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_gyeongbuk_region,2009,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2009,5.9182,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
34,Gyeongbuk Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_gyeongbuk_region,2010,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2010,5.9143,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
35,Gyeongnam Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_gyeongnam_region,2012,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2012,5.9075,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
36,Gyeongnam Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_gyeongnam_region,2017,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2017,5.9021,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
37,Chungcheong Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_chungcheong_region,2009,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2009,5.8966,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
38,Chungcheong Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_chungcheong_region,2010,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2010,5.8919,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
39,Chungcheong Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_chungcheong_region,2014,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2014,5.8864,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
40,Gyeongnam Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_gyeongnam_region,2011,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2011,5.8859,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
41,Jeolla Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_jeolla_region,2014,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2014,5.8774,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
42,Jeolla Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_jeolla_region,2008,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2008,5.8712,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
43,Gyeongbuk Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_gyeongbuk_region,2008,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2008,5.8662,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
44,Gyeongbuk Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_gyeongbuk_region,2014,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2014,5.8652,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
45,Gyeongnam Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_gyeongnam_region,2016,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2016,5.8462,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
46,Jeolla Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_jeolla_region,2007,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2007,5.8442,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
47,Chungcheong Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_chungcheong_region,2008,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2008,5.8416,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
48,Gyeongbuk Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_gyeongbuk_region,2007,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2007,5.8395,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
49,Chungcheong Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_chungcheong_region,2007,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2007,5.8114,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
50,Jeolla Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_jeolla_region,2004,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2004,5.8087,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
