Notes,Cancer Sites,Cancer Sites Code,Sex,Sex Code,Year,Year Code,age,age_code,Ethnicity,Ethnicity Code,Count,disease_id,disease_name,mcs_id,mcs_name,people_id,vs_id,country_id,country_name,country
,Lung and Bronchus,22030,Female,F,2001,2001.0,45-49 years,45-49,Non-Hispanic,2186-5,2651,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_45-49_female_non-hispanic,vstat_C0242379_US_PRI_45-49_female_non-hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2001,2001.0,50-54 years,50-54,Hispanic,2135-2,177,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_50-54_female_hispanic,vstat_C0242379_US_PRI_50-54_female_hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2001,2001.0,50-54 years,50-54,Non-Hispanic,2186-5,4675,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_50-54_female_non-hispanic,vstat_C0242379_US_PRI_50-54_female_non-hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2001,2001.0,55-59 years,55-59,Hispanic,2135-2,214,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_55-59_female_hispanic,vstat_C0242379_US_PRI_55-59_female_hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2001,2001.0,55-59 years,55-59,Non-Hispanic,2186-5,7545,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_55-59_female_non-hispanic,vstat_C0242379_US_PRI_55-59_female_non-hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2001,2001.0,60-64 years ,60-64,Hispanic,2135-2,338,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_60-64_female_hispanic,vstat_C0242379_US_PRI_60-64_female_hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2001,2001.0,60-64 years ,60-64,Non-Hispanic,2186-5,9695,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_60-64_female_non-hispanic,vstat_C0242379_US_PRI_60-64_female_non-hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2001,2001.0,65-69 years,65-69,Hispanic,2135-2,390,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_65-69_female_hispanic,vstat_C0242379_US_PRI_65-69_female_hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2001,2001.0,65-69 years,65-69,Non-Hispanic,2186-5,12576,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_65-69_female_non-hispanic,vstat_C0242379_US_PRI_65-69_female_non-hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2001,2001.0,70-74 years,70-74,Hispanic,2135-2,449,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_70-74_female_hispanic,vstat_C0242379_US_PRI_70-74_female_hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
